Senador,Legal Desde,Legal Hasta,Real Desde,Real Hasta,Provincia,Partido Político,Reemplazo,Observaciones
"ECHAGÜE, LEONIDAS  ",08/08/1891,30/04/1898 ,08/08/1891,30/04/1898 ,ENTRE RÍOS ,SIN ESPECIFICAR ,"ECHAGÜE, LEONIDAS  ",COMPLETA EL PERIODO DE SABA Z. HERNANDEZ. (1889/1898).  
"ECHAGÜE, LEONIDAS  ",14/05/1898,30/04/1907 ,14/05/1898,15/01/1899 ,ENTRE RÍOS ,SIN ESPECIFICAR ,"MACIA, SALVADOR  ",REELECTO. RENUNCIA EN 1899 PASA A SER GOBERNADOR DE LA PROVINCIA DE ENTRE RIOS. LO REEMPLAZA SALVADOR MACIA.  
"ECHAGÜE, LEONIDAS  ",09/08/1998,30/04/1907 ,17/05/1904,30/04/1907 ,ENTRE RÍOS ,SIN ESPECIFICAR ,"CARBO, ENRIQUE  ",COMPLETA EL MANDATO DE ENRIQUE CARBO.  
"ECHAGÜE, PASCUAL  ",17/10/1854,30/04/1857 ,28/11/1854,30/04/1857 ,CATAMARCA ,SIN ESPECIFICAR ,"ECHAGÜE, PASCUAL  ",NINGUNA 
"ECHAGÜE, PASCUAL  ",12/05/1857,30/04/1866 ,12/05/1857,14/05/1861 ,CATAMARCA ,SIN ESPECIFICAR ,VACANTE HASTA DISOLUC.P.L. ,REELECTO. RENUNCIA EN 1861. REPRESENTA A LA PROVINCIA DE SANTA FE (1861/1869). DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861.  
"ECHAGÜE, PASCUAL  ",01/05/1860,30/04/1869 ,14/05/1861,12/12/1861 ,SANTA FE ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861.  
"ECHAGÜE, PEDRO A.  ",29/04/1910,30/04/1919 ,29/04/1910,30/04/1919 ,SANTA FE ,CONSERVADOR ,"CABALLERO, RICARDO  ",REEMPLAZA A EUGENIO PUCCIO POR EXPIRACION DE MANDATO.  
"EGUIGUREN, ATANASIO  ",20/01/1932,30/04/1938 ,20/01/1932,30/04/1938 ,ENTRE RÍOS ,U. C. R. ANTIPERSONALISTA ,"EGUIGUREN, ATANASIO  ",NINGUNA 
"EGUIGUREN, ATANASIO  ",02/05/1938,30/04/1947 ,02/05/1938,05/06/1943 ,ENTRE RÍOS ,U. C. R. ANTIPERSONALISTA ,DISOLUCION DEL P. LEGISLATIVO ,REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
"ELIAS, ANGEL  ",17/10/1854,30/04/1863 ,25/05/1855,12/12/1861 ,LA RIOJA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861.  
"ELIAS, ANGEL  ",24/05/1862,30/04/1871 ,03/05/1863,30/04/1871 ,ENTRE RÍOS ,SIN ESPECIFICAR ,"BENITEZ, APOLINARIO  ",COMPLETA EL PERIODO DE SALVADOR MARIA DEL CARRIL. (1862/1871).  
"ELIAS, FLORENCIO  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,SALTA ,MOVIM. POPULAR SALTEÑO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"ELIZALDE, RUFINO DE  ",24/05/1862,30/04/1865 ,24/05/1862,13/10/1862 ,BUENOS AIRES ,SIN ESPECIFICAR ,"FRIAS, FELIX  ",RENUNCIA EN 1863 PARA SER MINISTRO DE RELACIONES EXTERIORES. LO REEMPLAZA FELIX FRIAS (1863/1865).  
"ENDEIZA, VICTOR W.  ",26/04/1949,30/04/1952 ,26/04/1949,30/04/1952 ,SAN LUIS ,SIN ESPECIFICAR ,"ZAVALA ORTIZ, RICARDO  ",REEMPLAZA A SOSA LOYOLA POR EXPIRACION DE MANDATO.  
"ESCUDERO, SONIA MARGARITA ",10/12/2001,09/12/2007 ,10/12/2001,09/12/2007 ,SALTA ,JUSTICIALISTA ,SENADORA EN EJERCICIO ,REEMPLAZA AL SENADOR CANTARERO.  
"ESCUDERO, SONIA MARGARITA ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,SALTA ,ALIANZA PARTIDO JUSTICIALISTA - FRENTE JUSTICIALISTA PARA LA VICTORIA ,"ESCUDERO, SONIA MARGARITA ",NINGUNA 
"ESPEJO, GERONIMO  ",17/10/1854,30/04/1857 ,17/10/1854,30/04/1857 ,MENDOZA ,SIN ESPECIFICAR ,ES SENADOR SUPLENTE ,SUPLENTE.  
"ESPERANZA, JOAQUIN HORACIO  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,FORMOSA ,JUSTICIALISTA ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"ESTENSSORO, MARÍA EUGENIA ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,ALIANZA COALICIÓN CÍVICA ,SENADORA EN EJERCICIO ,NINGUNA 
"ESTEVEZ, MANUEL I.  ",29/04/1913,30/04/1922 ,29/04/1913,30/04/1922 ,TUCUMÁN ,CONSERVADOR ,"PAZ POSSE, RAMON  ",REEMPLAZA A ALBERTO DE SOLDATI POR EXPIRACION DE MANDATO.  
"ETCHEVEHERE, LUIS L.  ",28/04/1925,30/04/1934 ,28/04/1925,06/09/1930 ,ENTRE RÍOS ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"EVANS, CARLOS HORACIO  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,MENDOZA ,JUSTICIALISTA ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"FADEL, MARIO NALLIB ",23/11/1986,09/12/1995 ,19/05/1993,09/12/1995 ,CATAMARCA ,JUSTICIALISTA ,VACANTE HASTA FIN DEL PERIODO ,COMPLETA EL PERIODO DE ALICIA SAADI DE DENTONE.  
"FALCO, CLODOMIRO  ",31/03/1958,30/04/1964 ,31/03/1958,06/09/1962 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"FALCO, LUIS ",10/12/2001,09/12/2007 ,10/12/2001,28/07/2007 ,RÍO NEGRO ,UNIÓN CÍVICA RADICAL ,"ABRAMETO, JACOBO ALBERTO ",REEMPLAZA AL SENADOR GAGLIARDI.  
"FALSONE, JOSE A. ",29/11/1983,09/12/1989 ,29/11/1983,09/12/1989 ,MISIONES ,UNIÓN CÍVICA RADICAL ,"LOSADA, MARIO ANÍBAL ",LO REEMPLAZA A MARIO LOSADA (h).  
"FASSI, SANTIAGO CARLOS  ",12/08/1963,30/04/1969 ,12/08/1963,28/06/1966 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE1966.  
"FEBRE, RAMON  ",03/05/1880,30/04/1889 ,03/05/1880,30/04/1889 ,ENTRE RÍOS ,SIN ESPECIFICAR ,"CRESPO, ANTONIO F.  ",REEMPLAZA A LEONIDAS ECHAGUE POR EXPIRACION DE MANDATO.  
"FELLNER, LILIANA BEATRIZ ",10/12/2005,09/12/2011 ,10/12/2005,Sin Fecha ,JUJUY ,FRENTE PARA LA VICTORIA ,SENADORA EN EJERCICIO ,NINGUNA 
"FELLNER, LILIANA BEATRIZ ",10/12/2011,09/12/2017 ,10/12/2011,Sin Fecha ,JUJUY ,ALIANZA FRENTE PARA LA VICTORIA ,,NINGUNA 
"FERIS, GABRIEL ",29/11/1983,09/12/1986 ,29/11/1983,09/12/1986 ,CORRIENTES ,AUTONOMISTA ,"FERIS, GABRIEL ",NINGUNA 
"FERIS, GABRIEL ",11/12/1986,09/12/1995 ,11/12/1986,10/12/1987 ,CORRIENTES ,AUTONOMISTA LIBERAL-CORRIENTES ,"ROMERO FERIS, JOSE ANTONIO ",RENUNCIA EL 10/12/1987 PARA ASUMIR COMO VICEGOBERNADOR DE CORRIENTES. LO REEMPLAZA JOSE ROMERO FERIS.  
"FERNANDEZ BESCHTEDT, HORACIO  ",31/03/1958,30/04/1961 ,31/03/1958,26/03/1959 ,NEUQUÉN ,SIN ESPECIFICAR ,"JARITONSKY, JOSE  ",FALLECE EL 26 DE MARZO DE 1959. LO REEMPLAZA JOSE JARITONSKY.  
"FERNÁNDEZ de KIRCHNER, CRISTINA E. ",29/11/1995,09/12/2001 ,29/11/1995,09/12/1997 ,SANTA CRUZ ,JUSTICIALISTA ,"VARIZAT, DANIEL ALBERTO ",REEMPLAZA A PEDRO MOLINA POR EXPIRACION DEL MANDATO. RENUNCIA. LA REEMPLAZA DANIEL VARIZAT.  
"FERNÁNDEZ de KIRCHNER, CRISTINA E. ",10/12/2001,09/12/2005 ,10/12/2001,09/12/2005 ,SANTA CRUZ ,JUSTICIALISTA ,"KIRCHNER, ALICIA MARGARITA ANTONIA ",REEMPLAZA AL SENADOR  
"FERNÁNDEZ de KIRCHNER, CRISTINA E. ",10/12/2005,09/12/2011 ,14/12/2005,10/12/2007 ,BUENOS AIRES ,ALIANZA FRENTE PARA LA VICTORIA ,"CALCAGNO Y MAILLMANN, ERIC ",NINGUNA 
"FERNANDEZ MEIJIDE, GRACIELA ",29/11/1995,09/12/2001 ,29/11/1995,09/12/1997 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,FREPASO ,"DEL PIERO, PEDRO ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. TERCER SENADOR POR LA REFORMA CONSTITUCIONAL DE 1994. RENUNCIA EN 1996. EL SENADO ACEPTO LA RENUNCIA A PARTIR DEL 9 DE DICIEMBRE DE 1997. LA REEMPLAZA PEDRO DEL PIERO.  
"FERNÁNDEZ, ANIBAL ",10/12/2011,09/12/2017 ,10/12/2011,Sin Fecha ,BUENOS AIRES ,ALIANZA FRENTE PARA LA VICTORIA ,,NINGUNA 
"FERNANDEZ, MARIANO (h)  ",12/08/1963,30/04/1969 ,12/08/1963,28/06/1966 ,LA PAMPA ,UNION POPULAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"FERNÁNDEZ, NICOLÁS ALEJANDRO ",10/12/2001,09/12/2005 ,10/12/2001,09/12/2005 ,SANTA CRUZ ,JUSTICIALISTA ,"FERNÁNDEZ, NICOLÁS ALEJANDRO ",REEMPLAZA AL SENADOR VARIZAT.  
"FERNÁNDEZ, NICOLÁS ALEJANDRO ",10/12/2005,09/12/2011 ,10/12/2005,Sin Fecha ,SANTA CRUZ ,FRENTE PARA LA VICTORIA ,SENADOR EN EJERCICIO ,NINGUNA 
"FERRARI, JUAN ANTONIO  ",25/04/1953,30/04/1955 ,25/04/1953,30/04/1955 ,LA PAMPA ,SIN ESPECIFICAR ,"FERRARI, JUAN ANTONIO  ",LA PROVINCIA DE LA PAMPA SE LLAMO EVA PERON DE 1953 A 1955. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"FERRARI, JUAN ANTONIO  ",26/04/1955,30/04/1961 ,26/04/1955,21/09/1955 ,LA PAMPA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955.  
"FERRE, PEDRO  ",17/10/1854,30/04/1863 ,17/10/1854,12/12/1861 ,CATAMARCA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861.  
"FERRE, PEDRO  ",22/07/1862,30/04/1871 ,22/07/1862,21/01/1867 ,CORRIENTES ,SIN ESPECIFICAR ,"VIDAL, JOSE RAMON  ",FALLECE EN 1867. LO REEMPLAZA JOSE VIDAL. (1868/1871).  
"FIGUEIRAS, DEMETRIO  ",22/05/1946,30/04/1949 ,22/05/1946,30/04/1949 ,SANTA FE ,SIN ESPECIFICAR ,"GIAVARINI, ALEJANDRO BAUTISTA  ",NINGUNA 
"FIGUEROA ALCORTA, JOSE  ",23/05/1898,30/04/1907 ,23/05/1898,12/10/1904 ,CÓRDOBA ,SIN ESPECIFICAR ,"YOFRE, FELIPE  ",REEMPLAZA A CARLOS TAGLE POR EXPIRACION DEL MANDATO. RENUNCIA EN 1904 Y PASA A SER VICEPRESIDENTE DE LA REPUBLICA. LO REEMPLAZA FELIPE YOFRE.  
"FIGUEROA, ALBERTO FRANCISCO  ",30/04/1935,30/04/1944 ,23/06/1936,05/06/1943 ,CATAMARCA ,DEMOCRATA NACIONAL ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZA A RAMON CASTILLO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
"FIGUEROA, BENJAMIN  ",25/07/1889,30/04/1898 ,25/07/1889,30/04/1898 ,SALTA ,SIN ESPECIFICAR ,"DIAZ, ANTONINO  ",REEMPLAZA A MOISES OLIVA POR EXPIRACION DE MANDATO.  
"FIGUEROA, FRANCISCO C.  ",07/07/1892,30/04/1901 ,07/07/1892,30/04/1901 ,CATAMARCA ,SIN ESPECIFICAR ,"FIGUEROA, FRANCISCO C.  ",REEMPLAZA A MANUEL RODRIGUEZ POR EXPIRACION DE MANDATO.  
"FIGUEROA, FRANCISCO C.  ",01/05/1901,30/04/1910 ,01/05/1901,30/04/1910 ,CATAMARCA ,SIN ESPECIFICAR ,"MALBRAN, CARLOS G.  ",REELECTO.  
"FIGUEROA, HECTOR E.  ",31/03/1958,30/04/1967 ,31/03/1958,06/09/1962 ,CÓRDOBA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"FIGUEROA, JOSE MANUEL  ",17/10/1854,30/04/1860 ,17/10/1854,30/04/1860 ,SAN LUIS ,SIN ESPECIFICAR ,"RODRIGUEZ, CARLOS JUAN  ",NINGUNA 
"FIGUEROA, JOSE OSCAR ",06/12/1989,09/12/1998 ,06/12/1989,09/12/1998 ,SANTIAGO DEL ESTERO ,JUSTICIALISTA ,"JUAREZ, CARLOS ARTURO ",REEMPLAZA A LUIS SALIM POR EXPIRACION DE MANDATO.  
"FIGUEROA, MARCOS A.  ",11/06/1874,30/04/1883 ,13/07/1880,30/04/1883 ,CATAMARCA ,SIN ESPECIFICAR ,"RODRIGUEZ, MANUEL F.  ",COMPLETA EL PERIODO DE SAMUEL MOLINA.  
"FILMUS, DANIEL FERNANDO ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,ALIANZA FRENTE PARA LA VICTORIA ,SENADOR EN EJERCICIO ,NINGUNA 
"FITTIPALDI, JUAN PABLO  ",31/03/1958,30/04/1961 ,31/03/1958,30/04/1961 ,NEUQUÉN ,SIN ESPECIFICAR ,"MAJLUF, AMADO  ",LO REEMPLAZA AMADO MAJLUF.  
"FLEITAS, VICTOR HUGO  ",31/03/1958,30/04/1961 ,31/03/1958,30/04/1961 ,CORRIENTES ,SIN ESPECIFICAR ,VACANTE HASTA DISOLUC.P.L. ,VACANTE HASTA LA DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"FLORES, DOMINGO  ",11/12/1963,30/04/1969 ,11/12/1963,28/06/1966 ,SAN LUIS ,ACCION POPULAR - SAN LUIS ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"FONROUGE, ALBERTO MARIA  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,BUENOS AIRES ,FREJULI ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"FORSTMANN, SELVA JUDIT ",12/12/2007,09/12/2011 ,12/12/2007,12/04/2009 ,SANTA CRUZ ,FRENTE PARA LA VICTORIA ,SENADORA EN EJERCICIO ,SEGUN DPP-18/09 POR FALLECIMIENTO  
"FRAGUEIRO, MARIANO  ",12/05/1857,30/04/1866 ,11/05/1858,11/06/1858 ,CÓRDOBA ,SIN ESPECIFICAR ,"CAMPILLO, CLETO DEL  ",REEMPLAZA A REGIS MARTINEZ POR EXPIRACION DE MANDATO. RENUNCIA EN 1858. ES NOMBRADO GOBERNADOR DE LA PROVINCIA DE CORDOBA. LO REEMPLAZA CLETO DEL CAMPILLO. (1858/1861).  
"FRAGUEIRO, MARIANO  ",24/05/1862,30/04/1865 ,30/04/1863,30/04/1865 ,CÓRDOBA ,SIN ESPECIFICAR ,"ROMAN, ALEJO  ",COMPLETA EL PERIODO DE DALMACIO VELEZ SARFIELD. (1862/1865).  
"FRANCO, CARLOS  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,SAN LUIS ,JUSTICIALISTA ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"FREYTES, ANGEL ROBERTO  ",12/08/1963,30/04/1966 ,12/08/1963,30/04/1966 ,SANTIAGO DEL ESTERO ,U. C. R. DEL PUEBLO ,"FREYTES, ANGEL ROBERTO  ",NINGUNA 
"FREYTES, ANGEL ROBERTO  ",26/04/1966,30/04/1975 ,26/04/1966,28/06/1966 ,SANTIAGO DEL ESTERO ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"FRIAS, FELIX  ",30/04/1863,30/04/1865 ,30/04/1863,30/04/1865 ,BUENOS AIRES ,SIN ESPECIFICAR ,"FRIAS, FELIX  ",COMPLETA EL PERIODO DE RUFINO DE ELIZALDE ( 1862-1865 )  
"FRIAS, FELIX  ",30/04/1865,30/04/1874 ,30/04/1865,01/09/1868 ,BUENOS AIRES ,SIN ESPECIFICAR ,"MITRE, BARTOLOME  ",REELECTO. RENUNCIA EN 1868. LO REEMPLAZA BARTOLOME MITRE.  
"FRIAS, LUIS  ",07/05/1874,30/04/1883 ,07/05/1874,30/04/1883 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,"ROJAS, ABSALON  ",REEMPLAZA A JUAN FRANCISCO BORGES POR EXPIRACION DE MANDATO.  
"FRIAS, ULADISLAO  ",28/04/1865,30/04/1874 ,28/04/1865,06/12/1869 ,TUCUMÁN ,SIN ESPECIFICAR ,"VILLAFAÑE, BENJAMIN  ",RENUNCIA EN 1869. PARA SER GOBERNADOR DE LA PROVINCIA DE TUCUMAN. LO REEMPLAZA BENJAMIN VILLAFAÑE.  
"FRIAS, ULADISLAO  ",12/05/1874,30/04/1883 ,07/05/1875,14/01/1878 ,TUCUMÁN ,SIN ESPECIFICAR ,"PADILLA, TIBURCIO  ",RENUNCIA EN 1878 PARA SER MINISTRO DE LA SUPREMA CORTE DE JUSTICIA. COMPLETA EL PERIODO DE NICOLAS AVELLANEDA. LO REEMPLAZA EN 1878 TIBURCIO PADILLA.  
"FROIS, DOMINGO ANDRES  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,LA PAMPA ,JUSTICIALISTA ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"FRUGOLI, AMADEO RICARDO  ",03/05/1973,31/03/1977 ,03/05/1973,24/03/1976 ,MENDOZA ,AL. POP. RENOVADORA-MENDOZA ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976.  
"FUENTE, HECTOR M. DE LA  ",30/04/1925,30/04/1934 ,05/08/1926,06/09/1930 ,LA RIOJA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"FUENTE, MAXIMINO DE LA  ",02/05/1889,30/04/1898 ,02/05/1889,30/04/1898 ,LA RIOJA ,SIN ESPECIFICAR ,"AVELLANEDA, LIDORO J.  ",REEMPLAZA A NICOLAS BARROS POR EXPIRACION DE MANDATO.  
"FUENTES, MARCELO JORGE ",10/12/2007,09/12/2013 ,10/12/2007,Sin Fecha ,NEUQUÉN ,ALIANZA FRENTE PARA LA VICTORIA ,SENADOR EN EJERCICIO ,NINGUNA 
"FUNES, AUGUSTO M.  ",28/05/1925,30/04/1934 ,28/05/1925,06/09/1930 ,CÓRDOBA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,REEMPLAZO A RAFAEL NUÑEZ POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930.  
"FUNES, CARLOS DELCIO ",13/12/1995,09/12/2001 ,07/03/2001,29/07/2001 ,SANTA FE ,JUSTICIALISTA ,"ROBLES, MIGUEL ANGEL ",REEMPLAZA AL SENADOR DI PIETRO QUE FALLECIO EL 24 DE DICIEMBRE DE 2000. EL SENADOR FUNES FALLECE EL 29 / 07 / 2001 LO REEMPLAZA EL SENADOR MIGUEL ANGEL ROBLES.  
"FUNES, PEDRO LUCAS  ",20/07/1886,30/04/1892 ,27/10/1886,29/08/1890 ,CÓRDOBA ,SIN ESPECIFICAR ,"CORTES, GERONIMO  ",REEMPLAZA A GREGORIO GAVIER QUE RENUNCIO. COMPLETA EL PERIODO DE JUAREZ CELMAN. FALLECE EN 1890. LO REEMPLAZA GERONIMO CORTES.  
"FUNES, RAFAEL M.  ",05/07/1904,30/04/1913 ,05/07/1904,30/04/1913 ,SANTA FE ,SIN ESPECIFICAR ,"ITURRASPE, IGNACIO  ",REEMPLAZA A JOSE GALVEZ POR EXPIRACION DE MANDATO.  
"GADANO, JOSE ENRIQUE  ",12/08/1963,30/04/1966 ,12/08/1963,30/04/1966 ,RÍO NEGRO ,U. C. R. DEL PUEBLO ,"GADANO, JOSE ENRIQUE  ",NINGUNA 
"GADANO, JOSE ENRIQUE  ",26/04/1966,30/04/1975 ,26/04/1966,28/06/1966 ,RÍO NEGRO ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"GAGLIARDI, EDGARDO JOSE ",09/12/1995,09/12/2001 ,24/04/1996,09/12/2001 ,RÍO NEGRO ,UNIÓN CÍVICA RADICAL ,"FALCO, LUIS ",REEMPLAZA A FAUSTINO MAZZUCCO POR EXPIRACION DE MANDATO.  
"GALAN, JOSE MIGUEL  ",17/10/1854,30/04/1863 ,17/10/1854,30/11/1854 ,ENTRE RÍOS ,SIN ESPECIFICAR ,"GARCIA, BALDOMERO  ",RENUNCIA EN 1854 PARA SER NOMBRADO MINISTRO DE GUERRA Y MARINA DE LA NACION. LO REEMPLAZA BALDOMERO GARCIA.  
"GALINDEZ, FRANCISCO R.  ",20/01/1932,19/01/1941 ,20/01/1932,19/01/1941 ,CATAMARCA ,DEMOCRATA NACIONAL ,"ACUÑA, AURELIO SIMON  ",NINGUNA 
"GALLEGO, SILVIA ESTER ",10/12/2003,09/12/2009 ,10/12/2003,Sin Fecha ,LA PAMPA ,JUSTICIALISTA ,SENADORA EN EJERCICIO ,REEMPLAZA A LA SENADORA DEOLIDE CARMEN GOMEZ DE BERTONE.  
"GALLIA, SERGIO ADRIÁN ",10/12/2001,09/12/2007 ,10/12/2001,Sin Fecha ,NEUQUÉN ,JUSTICIALISTA ,"LORES, HORACIO ",REEMPLAZA AL SENADOR DANIEL BAUM.  
"GALLO, PEDRO  ",24/05/1862,30/04/1865 ,24/05/1862,30/04/1865 ,SANTIAGO DEL ESTERO ,SIN ESPECIFICAR ,,NINGUNA 
"GALLO, SEGUNDO B.  ",30/04/1919,30/04/1928 ,19/12/1922,30/04/1928 ,CATAMARCA ,SIN ESPECIFICAR ,"SORIA, FERNANDO M.  ",REEMPLAZA A CARLOS MALBRAN POR EXPIRACION DE MANDATO  
"GALLO, VICENTE C.  ",30/04/1919,30/04/1928 ,30/04/1919,01/12/1923 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,"JUSTO, JUAN BAUTISTA  ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES.RENUNCIA EN 1923 PARA SER MINISTRO DEL INTERIOR. LO REEMPLAZA JUAN B. JUSTO ( 1924/1928 ).  
"GALLO, VICTORIO MANUEL  ",31/03/1958,30/04/1967 ,31/03/1958,06/09/1962 ,CATAMARCA ,SIN ESPECIFICAR ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962.  
"GALVAN, RAUL ALFREDO ",29/11/1995,09/12/2001 ,29/11/1995,09/12/2001 ,LA RIOJA ,UNIÓN CÍVICA RADICAL ,"YOMA, JORGE RAÚL ",POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR.  
"GALVEZ, JOSE  ",01/05/1886,30/04/1895 ,22/05/1890,30/04/1895 ,SANTA FE ,SIN ESPECIFICAR ,"GALVEZ, JOSE  ",REEMPLAZA A JOSE GOLLAN.  
"GALVEZ, JOSE  ",06/05/1895,30/04/1904 ,06/05/1895,30/04/1904 ,SANTA FE ,SIN ESPECIFICAR ,"FUNES, RAFAEL M.  ",REELECTO.  
"GAMOND, EDUARDO JOSE A.  ",12/08/1963,30/04/1969 ,12/08/1963,28/06/1966 ,CÓRDOBA ,U. C. R. DEL PUEBLO ,DISOLUCION DEL P. LEGISLATIVO ,DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966.  
"GARCIA ARECHA, JOSE MARIA ",02/12/1992,09/12/2001 ,17/12/1997,09/12/2001 ,CIUDAD AUTÓNOMA DE BUENOS AIRES ,UNIÓN CÍVICA RADICAL ,"IBARRA, VILMA LIDIA ",SE DENOMINA CAPITAL FEDERAL A LA ACTUAL CIUDAD AUTONOMA DE BUENOS AIRES. COMPLETA EL PERIODO DE FERNANDO DE LA RUA ( 1992/2001 ).  
"GARCIA FERNANDEZ, MANUEL  ",20/01/1932,30/04/1938 ,05/06/1936,30/04/1938 ,TUCUMÁN ,UNIÓN CÍVICA RADICAL ,"GARCIA FERNANDEZ, MANUEL  ",COMPLETA EL PERIODO DE NICOLAS MATIENZO QUE FALLECE EL 3 DE ENERO DE 1936.  
"GARCIA FERNANDEZ, MANUEL  ",30/04/1938,30/04/1947 ,02/05/1938,05/06/1943 ,TUCUMÁN ,UNIÓN CÍVICA RADICAL ,DISOLUCION DEL P. LEGISLATIVO ,REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943.  
